bucket,counterfactual_background_mass_in_gt_stuff,counterfactual_background_mass_in_gt_thing,counterfactual_best_group,counterfactual_best_gt_area,counterfactual_best_iou,counterfactual_best_precision,counterfactual_best_pred_area,counterfactual_best_recall,counterfactual_best_soft_dice,counterfactual_conservation_error,counterfactual_group_mass_in_gt_stuff,counterfactual_group_mass_in_gt_thing,counterfactual_gt_free_detected,counterfactual_gt_free_fp,counterfactual_n_gt_free_predictions,gt_stuff_area,gt_thing_area,instance_key,kind,original_background_mass_in_gt_stuff,original_background_mass_in_gt_thing,original_best_group,original_best_gt_area,original_best_iou,original_best_precision,original_best_pred_area,original_best_recall,original_best_soft_dice,original_conservation_error,original_group_mass_in_gt_stuff,original_group_mass_in_gt_thing,original_gt_free_detected,original_gt_free_fp,original_n_gt_free_predictions,role,scene,view
mid,0.0,0.0,65,4193,0.032515026432037075,0.0446100347739692,10065,0.10708323396136418,0.7818436026573181,1.1324882507324219e-06,0.9979937076568604,0.9998947381973267,False,6,6,8757,4193,8001,novel,0.44860273599624634,0.1259685903787613,65,4193,0.01965665236051502,0.029794431433775696,7686,0.05461483424755545,0.7788496017456055,1.1920928955078125e-06,0.549390971660614,0.8739263415336609,False,6,6,failure,scene0012_01,2
mid,0.0,0.0,62,4838,0.02715727122132423,0.03462621607782898,15624,0.11182306738321621,0.8066743612289429,1.2516975402832031e-06,0.9608519673347473,0.9998944401741028,False,6,6,4497,4838,8001,novel,0.3137649595737457,0.2160704880952835,65,4838,0.008692120227457351,0.014117957514183928,7579,0.02211657709797437,0.8070663213729858,1.2516975402832031e-06,0.6470869779586792,0.7838240265846252,False,6,6,failure,scene0012_01,3
mid,0.0,0.0,62,7404,0.26602083049074454,0.28626664056382145,20432,0.7899783900594274,0.5031905174255371,1.3709068298339844e-06,0.9980962872505188,0.9995000958442688,False,6,6,4379,7404,5018,context,0.6110565066337585,0.20470064878463745,62,7404,0.2933204808346564,0.33580006491398895,15405,0.6986763911399244,0.5127949714660645,1.4901161193847656e-06,0.38703978061676025,0.7947994470596313,False,5,5,failure,scene0001_01,0
mid,0.0,0.0,62,6309,0.12492492492492492,0.13661740558292282,27405,0.5934379457917262,0.7586508989334106,1.2516975402832031e-06,0.9998547434806824,0.9978571534156799,False,5,5,6158,6309,5018,context,0.3357854187488556,0.165323406457901,62,6309,0.16463867731748097,0.188885336743393,18768,0.5618957045490569,0.7438719272613525,1.1324882507324219e-06,0.6640694737434387,0.8325337767601013,False,5,5,failure,scene0001_01,1
mid,0.0,0.0,90,5775,0.17101273499090358,0.3634020618556701,3880,0.24415584415584415,0.7679705023765564,1.3709068298339844e-06,0.9707583785057068,0.9977130889892578,False,7,7,10608,5775,5018,novel,0.5330164432525635,0.16605810821056366,62,5775,0.15248591721773205,0.17535064496141498,17753,0.539047619047619,0.7915364503860474,1.3709068298339844e-06,0.43774187564849854,0.8316549062728882,False,5,5,failure,scene0001_01,2
mid,0.0,0.0,90,6389,0.15681927710843374,0.28986281845715306,5613,0.25465644075755206,0.7592288255691528,1.4901161193847656e-06,0.9959053993225098,0.9979173541069031,False,6,6,8451,6389,5018,novel,0.5204959511756897,0.16522890329360962,62,6389,0.1534973787370708,0.18021514916269268,18034,0.5086868054468618,0.7771206498146057,1.3113021850585938e-06,0.4754094183444977,0.8326885104179382,False,5,5,failure,scene0001_01,3
large,0.0,,,,,,,,,1.3113021850585938e-06,0.999601423740387,,,5,5,63802,0,8024,context,0.5722211003303528,,,,,,,,,1.430511474609375e-06,0.42738038301467896,,,4,4,failure,scene0007_00,0
large,0.0,0.0,14,9030,0.04044615301315718,0.07333595130571373,10186,0.08272425249169435,0.8978241682052612,7.152557373046875e-07,0.43801429867744446,0.1632368266582489,False,2,2,29886,9030,8024,context,0.1532411426305771,0.010736829601228237,14,9030,0.04414995393664517,0.10922159887798036,5704,0.06899224806201551,0.886009693145752,8.940696716308594e-07,0.2847731411457062,0.15250001847743988,False,2,2,failure,scene0007_00,1
large,0.0,,,,,,,,,1.3113021850585938e-06,0.9996677041053772,,,4,4,65478,0,8024,novel,0.6461026072502136,,,,,,,,,1.1920928955078125e-06,0.3535650670528412,,,3,3,failure,scene0007_00,2
large,0.0,0.0,14,9352,0.05065323294951284,0.09504518541601745,9627,0.09784003421727973,0.8835439682006836,8.344650268554688e-07,0.42816147208213806,0.18001963198184967,False,2,2,28496,9352,8024,novel,0.1496105045080185,0.013211342506110668,14,9352,0.05136673459349308,0.1303030303030303,5610,0.0781650983746792,0.8731006979942322,8.344650268554688e-07,0.2785509526729584,0.16680829226970673,False,2,2,failure,scene0007_00,3
large,0.0,,,,,,,,,1.3113021850585938e-06,0.999601423740387,,,5,5,63802,0,8006,context,0.5722211003303528,,,,,,,,,1.430511474609375e-06,0.42738038301467896,,,4,4,failure,scene0007_00,0
large,0.0,0.0,14,10058,0.0031714568880079285,0.006283133712939329,10186,0.0063630940544839925,0.8989276885986328,7.152557373046875e-07,0.43801429867744446,0.15759681165218353,False,2,2,29886,10058,8006,context,0.1532411426305771,0.0067648873664438725,14,10058,0.003629417382999045,0.009992987377279102,5704,0.0056671306422748065,0.8847633004188538,8.940696716308594e-07,0.2847731411457062,0.1508319079875946,False,2,2,failure,scene0007_00,1
