delta,group,gt_area,iou1,iou2,iou3,key,scene,top1_area_over_gt,union3_area_over_gt,union3_intrusion_other_gt_fraction,variant,view
0.0,unseen,2954,0.09356879283078545,0.06293011163786512,0.03452076362920685,20009,scene0559_01,0.4045362220717671,7.897088693297224,0.6501628943758574,g0plus_step6000,2
0.0,unseen,27443,0.4806740052010972,0.46138258452987496,0.43673995328984455,6002,scene0559_01,0.5145574463433298,0.9502241008636082,0.08992598841891322,g0plus_step6000,3
0.0,unseen,4609,0.21514368253002888,0.18958846289131198,0.16067489417516245,6003,scene0559_01,0.7339986981991755,3.223909741809503,0.39975772259236825,g0plus_step6000,3
0.0,unseen,986,0.11056290648127383,0.08591843848030672,0.038520139078798296,7015,scene0559_01,9.044624746450305,25.960446247464503,0.7176622260421143,g0plus_step6000,3
0.0,unseen,5792,0.14745087261234024,0.05014487335264978,0.04391062366999509,8013,scene0559_01,0.4416436464088398,3.4041781767955803,0.7011208601714257,g0plus_step6000,3
0.0,unseen,3799,0.23296137339055795,0.09792689579923622,0.08338172105446522,20009,scene0559_01,0.8904974993419321,3.9112924453803632,0.484487515983579,g0plus_step6000,3
0.2715962179076605,unseen,34911,0.2553888208661978,0.4034852186988159,0.5269850387738583,6006,scene0568_02,0.262868436882358,0.6751740139211136,0.0,g0plus_step6000,2
0.26696980043289303,unseen,34354,0.24724832959050708,0.4026224654347424,0.5142181300234001,6006,scene0568_02,0.30951272049834083,0.7329277522268149,0.0,g0plus_step6000,3
0.0,unseen,8561,0.30140022161781,0.24647407329733131,0.23686199425605886,5021,scene0615_00,0.5090526807615933,1.8674220301366662,0.32232438856570966,g0plus_step6000,2
0.0,unseen,1682,0.14698063045955184,0.12814569536423842,0.045812370523823615,8001,scene0615_00,2.590963139120095,9.504756242568371,0.5679614686933133,g0plus_step6000,2
0.0774714810024531,unseen,17859,0.3117128114076458,0.3731937422873293,0.3891842924100989,13012,scene0615_00,0.32375832913377006,0.9749146088806764,0.09815633794727471,g0plus_step6000,2
0.0,unseen,8470,0.3050430504305043,0.2488530295839266,0.24431788765208387,5021,scene0615_00,0.5031877213695396,1.8375442739079102,0.3117450526856849,g0plus_step6000,3
0.0,unseen,1815,0.11668504226387358,0.10987594651200258,0.10397926513187986,8001,scene0615_00,2.3482093663911847,2.989531680440771,0.6059712495392554,g0plus_step6000,3
0.0705878850112196,unseen,17432,0.32343440068007934,0.38930741190765494,0.39402228569129893,13012,scene0615_00,0.33960532354290957,0.9879531895364846,0.10120775751945187,g0plus_step6000,3
0.0,unseen,4571,0.3176547801356377,0.27939638428208574,0.13610911701363962,20017,scene0695_00,0.3176547801356377,2.462262087070663,0.0,g0plus_step6000,2
0.0,unseen,622,0.035002215330084185,0.00803090373081224,0.006578947368421052,20017,scene0695_00,2.7556270096463025,18.432475884244372,0.0,g0plus_step6000,3
0.0,training,94,0.08995215311004785,0.026308424293310942,0.012119649303764827,8059,scene0000_02,11.117021276595745,82.51063829787235,0.0,g0plus_step6000,2
0.0,training,256,0.0,0.0,0.0,8059,scene0000_02,27.68359375,42.359375,0.0,g0plus_step6000,3
0.0,training,501,0.0,0.0,0.0,8049,scene0016_01,9.738522954091817,21.780439121756487,0.012096774193548387,g0plus_step6000,2
0.0,training,132,0.027054724328755893,0.02126631222812953,0.012096774193548387,14030,scene0016_01,36.96212121212121,82.66666666666667,0.0,g0plus_step6000,2
0.0,training,264,0.0,0.0,0.0,8049,scene0016_01,17.359848484848484,40.253787878787875,0.007339794862143596,g0plus_step6000,3
0.0,training,78,0.0170194195941523,0.013193504736129905,0.007339794862143596,14030,scene0016_01,58.756410256410255,136.24358974358975,0.0,g0plus_step6000,3
0.0,training,10749,0.010001852194850898,0.009419152276295133,0.009419152276295133,8006,scene0007_00,0.5219090147920736,0.615126988557075,0.11448880822746521,g0plus_step6000,3
0.0,training,9352,0.05136673459349308,0.049779706714013286,0.049779706714013286,8024,scene0007_00,0.5998716852010265,0.7070145423438836,0.024500907441016333,g0plus_step6000,3
0.0,training,1293,0.0,0.0,0.0,5002,scene0012_01,4.276875483372003,11.464037122969838,0.45658773527625984,g0plus_step6000,2
0.0,training,4193,0.01965665236051502,0.013329452852153667,0.013038032338874971,8001,scene0012_01,1.8330550918196995,3.2435010732172667,0.9170588235294118,g0plus_step6000,2
0.0,training,7755,0.6326707000864304,0.6080122902387143,0.36771012006861065,8017,scene0012_01,0.7050934880722115,1.4676982591876209,0.4858548585485855,g0plus_step6000,2
0.25922280035625556,training,20535,0.3228800450007031,0.5821028453569587,0.4697674418604651,8019,scene0012_01,0.37428780131482836,1.0774287801314828,0.01184180790960452,g0plus_step6000,2
0.0,training,332,0.0041327489041953665,0.00244173140954495,0.0023742715303259228,8020,scene0012_01,23.150602409638555,40.963855421686745,0.9314705882352942,g0plus_step6000,2
