context_visible,group,gt_area,key,oracle_iou,oracle_pred_area,scene,variant,view
True,unseen,1933,8032,0.33864360491579426,3949,scene0059_00,g0_step6000,2
True,unseen,423,8033,0.03567274137262505,2248,scene0059_00,g0_step6000,2
True,unseen,7,20034,0.02459016393442623,243,scene0059_00,g0_step6000,2
True,unseen,4668,5010,0.6605054151624549,6831,scene0059_00,g0_step6000,3
True,unseen,3660,5011,0.2274892265819914,1752,scene0059_00,g0_step6000,3
True,unseen,245,5016,0.0,0,scene0059_00,g0_step6000,3
True,unseen,1892,5019,0.44395604395604393,3364,scene0059_00,g0_step6000,3
True,unseen,9573,6001,0.5373057879460474,17439,scene0059_00,g0_step6000,3
True,unseen,11864,7007,0.6852013755318529,17049,scene0059_00,g0_step6000,3
True,unseen,2079,8032,0.31142136901299206,4684,scene0059_00,g0_step6000,3
True,unseen,396,8033,0.04662104362703165,2051,scene0059_00,g0_step6000,3
True,unseen,177,20031,0.005,1029,scene0059_00,g0_step6000,3
True,unseen,1499,20034,0.21651667548967707,799,scene0059_00,g0_step6000,3
True,unseen,4943,8022,0.29685892392422686,16485,scene0072_02,g0_step6000,2
True,unseen,15045,20031,0.4768772385812546,31549,scene0072_02,g0_step6000,2
True,unseen,3211,8022,0.21160250432929267,14980,scene0072_02,g0_step6000,3
True,unseen,11436,20031,0.4154164699044644,27529,scene0072_02,g0_step6000,3
True,unseen,5335,5015,0.808420365535248,5747,scene0132_01,g0_step6000,2
True,unseen,7821,5016,0.3314541387024609,7058,scene0132_01,g0_step6000,2
True,unseen,127,5017,0.024271844660194174,928,scene0132_01,g0_step6000,2
True,unseen,3606,6013,0.7457374254049446,4585,scene0132_01,g0_step6000,2
True,unseen,27651,7012,0.6144469838631484,42282,scene0132_01,g0_step6000,2
True,unseen,3403,5015,0.729318474067724,4666,scene0132_01,g0_step6000,3
True,unseen,6387,5016,0.22236586942469294,4959,scene0132_01,g0_step6000,3
True,unseen,1374,5017,0.23949416342412452,4997,scene0132_01,g0_step6000,3
True,unseen,1047,6013,0.6228123114061557,1642,scene0132_01,g0_step6000,3
True,unseen,24077,7012,0.5506799981045349,41371,scene0132_01,g0_step6000,3
True,unseen,22277,4004,0.46577318725432804,47828,scene0472_01,g0_step6000,2
True,unseen,31642,4004,0.5319950233699855,59478,scene0472_01,g0_step6000,3
True,unseen,17059,6002,0.5255717255717256,30638,scene0559_01,g0_step6000,2
True,unseen,3378,6003,0.41016141836464676,7280,scene0559_01,g0_step6000,2
True,unseen,731,7015,0.0,0,scene0559_01,g0_step6000,2
True,unseen,17387,8013,0.9069271175311885,17464,scene0559_01,g0_step6000,2
