alpha_coverage_in_gt,best_group,best_group_kept,best_iou,bucket,checkpoint,conservation_error,full_pixel_argmin_group,gt_area,gt_free_detected,instance_key,kind,mask_grad_norm,matched_group,matched_iou,matched_is_thing_class,matched_p_thing,matched_precision,matched_pred_area,matched_recall,matched_soft_dice,mean_background_mass_in_gt,mean_group_mass_in_gt,positive_sampled_points,role,sampled_bce,sampled_dice,scene,view
0.9841042160987854,22,True,0.034564254062038405,mid,g0plus_step6000,1.4901161193847656e-06,14,1504,False,18009,novel,1.1398488283157349,14,0.0,True,0.8985614776611328,0.0,2038,0.0,0.8244114518165588,0.22771820425987244,0.7563859224319458,404,failure,0.2757059335708618,0.7478368282318115,scene0009_00,3
0.9998891949653625,64,True,0.3739540251995768,mid,g0_step3000,1.3113021850585938e-06,64,9783,False,8017,context,0.41547855734825134,64,0.3739540251995768,True,0.8848642706871033,0.8636161705908485,4502,0.39742410303587855,0.4778825640678406,3.397461756371456e-10,0.9998889565467834,345,failure,0.1465037763118744,0.5933130979537964,scene0012_01,0
0.9998947978019714,51,True,0.08213651766984024,mid,g0_step3000,1.6689300537109375e-06,64,1770,False,8017,context,0.41547855734825134,64,0.0007072135785007072,True,0.8848642706871033,0.0018867924528301887,1060,0.0011299435028248588,0.6313744187355042,4.429468944411319e-11,0.9998947381973267,345,failure,0.1465037763118744,0.5933130979537964,scene0012_01,1
0.9998939633369446,64,True,0.2877621134936619,mid,g0_step3000,1.430511474609375e-06,64,7755,False,8017,novel,0.41547855734825134,64,0.2877621134936619,True,0.8848642706871033,0.7797752808988764,3115,0.31321727917472597,0.5332047939300537,5.38147582052062e-10,0.9998937845230103,345,failure,0.1465037763118744,0.5933130979537964,scene0012_01,2
0.999894380569458,51,True,0.10993927772451262,mid,g0_step3000,1.3113021850585938e-06,64,1497,False,8017,novel,0.41547855734825134,64,0.0,True,0.8848642706871033,0.0,452,0.0,0.6909076571464539,3.608646020891726e-11,0.9998942017555237,345,failure,0.1465037763118744,0.5933130979537964,scene0012_01,3
0.9996899366378784,51,True,0.1842478234460417,mid,g0_step6000,1.2516975402832031e-06,22,9783,False,8017,context,4.3267741203308105,22,0.1506695287744046,True,0.8114044070243835,1.0,1474,0.1506695287744046,0.6290314793586731,6.653479545093433e-08,0.9996899366378784,345,failure,0.1963057518005371,0.7152332067489624,scene0012_01,0
0.9998939037322998,57,True,0.10237849017580145,mid,g0_step6000,1.2516975402832031e-06,22,1770,False,8017,context,4.3267741203308105,22,0.0,True,0.8114044070243835,0.0,0,0.0,0.79273921251297,4.0696580327903575e-08,0.999893844127655,345,failure,0.1963057518005371,0.7152332067489624,scene0012_01,1
0.9992718696594238,57,True,0.13687272727272728,mid,g0_step6000,1.3113021850585938e-06,22,7755,False,8017,novel,4.3267741203308105,22,0.02372662798194713,True,0.8114044070243835,1.0,184,0.02372662798194713,0.744626522064209,4.147303656054646e-08,0.9992717504501343,345,failure,0.1963057518005371,0.7152332067489624,scene0012_01,2
0.9998933672904968,57,True,0.12880143112701253,mid,g0_step6000,1.2516975402832031e-06,22,1497,False,8017,novel,4.3267741203308105,22,0.0,True,0.8114044070243835,0.0,0,0.0,0.8567816615104675,2.7172145422582616e-08,0.9998932480812073,345,failure,0.1963057518005371,0.7152332067489624,scene0012_01,3
0.974348247051239,62,True,0.22701585113714678,mid,g0plus_step3000,1.0728836059570312e-06,92,9783,False,8017,context,0.33186960220336914,92,0.0,True,0.9420290589332581,0.0,0,0.0,0.6345506906509399,0.251526802778244,0.7228214144706726,345,failure,0.2329755276441574,0.7740675210952759,scene0012_01,0
0.9998918771743774,62,True,0.1564736908200427,mid,g0plus_step3000,1.0132789611816406e-06,92,1770,False,8017,context,0.33186960220336914,92,0.0,True,0.9420290589332581,0.0,0,0.0,0.7559587359428406,0.17924363911151886,0.8206483125686646,345,failure,0.2329755276441574,0.7740675210952759,scene0012_01,1
0.9812113046646118,62,True,0.23920607306658231,mid,g0plus_step3000,1.0132789611816406e-06,92,7755,False,8017,novel,0.33186960220336914,92,0.0,True,0.9420290589332581,0.0,0,0.0,0.6498571038246155,0.25719505548477173,0.7240163087844849,345,failure,0.2329755276441574,0.7740675210952759,scene0012_01,2
0.9998915195465088,62,True,0.15188067444876782,mid,g0plus_step3000,1.0728836059570312e-06,92,1497,False,8017,novel,0.33186960220336914,92,0.0,True,0.9420290589332581,0.0,0,0.0,0.790300726890564,0.20114073157310486,0.7987508773803711,345,failure,0.2329755276441574,0.7740675210952759,scene0012_01,3
0.9987727403640747,90,True,0.6656462259638382,mid,g0plus_step6000,1.2516975402832031e-06,90,9783,True,8017,context,0.3690802752971649,90,0.6656462259638382,True,0.7934535145759583,0.9121657052962768,7628,0.7112337728713074,0.28739380836486816,0.17538316547870636,0.8233895301818848,345,failure,0.10333243012428284,0.4263298511505127,scene0012_01,0
0.9998946189880371,90,True,0.550561797752809,mid,g0plus_step6000,1.3113021850585938e-06,90,1770,True,8017,context,0.3690802752971649,90,0.550561797752809,True,0.7934535145759583,0.551594746716698,3198,0.9966101694915255,0.1836848258972168,0.09977611899375916,0.9001185297966003,345,failure,0.10333243012428284,0.4263298511505127,scene0012_01,1
0.9988976716995239,90,True,0.6326707000864304,mid,g0plus_step6000,1.1324882507324219e-06,90,7755,True,8017,novel,0.3690802752971649,90,0.6326707000864304,True,0.7934535145759583,0.9370885149963424,5468,0.6607350096711799,0.29191774129867554,0.16951416432857513,0.8293834924697876,345,failure,0.10333243012428284,0.4263298511505127,scene0012_01,2
0.9998946785926819,90,True,0.5227272727272727,mid,g0plus_step6000,1.2516975402832031e-06,90,1497,True,8017,novel,0.3690802752971649,90,0.5227272727272727,True,0.7934535145759583,0.5274095306341813,2791,0.9832999331997327,0.18387198448181152,0.11221484839916229,0.8876798748970032,345,failure,0.10333243012428284,0.4263298511505127,scene0012_01,3
0.9998940825462341,65,True,0.1824109098148517,mid,g0_step3000,1.3113021850585938e-06,65,3665,False,8001,context,0.8781774640083313,92,0.0,True,0.8264794945716858,0.0,0,0.0,0.8893423080444336,1.478499722824822e-12,0.9998940229415894,226,failure,0.1501273810863495,0.8567950129508972,scene0012_01,0
0.99989253282547,65,True,0.2284403156304214,mid,g0_step3000,1.6689300537109375e-06,65,4082,False,8001,context,0.8781774640083313,92,0.0,True,0.8264794945716858,0.0,0,0.0,0.8321840167045593,3.7217486579567416e-13,0.9998925924301147,226,failure,0.1501273810863495,0.8567950129508972,scene0012_01,1
0.9998925924301147,65,True,0.20946148466380257,mid,g0_step3000,1.430511474609375e-06,65,4193,False,8001,novel,0.8781774640083313,92,0.0,True,0.8264794945716858,0.0,0,0.0,0.8513866066932678,8.208702272603785e-13,0.9998924732208252,226,failure,0.1501273810863495,0.8567950129508972,scene0012_01,2
0.9998825788497925,65,True,0.2555056773171376,mid,g0_step3000,1.3113021850585938e-06,65,4838,False,8001,novel,0.8781774640083313,92,0.0,True,0.8264794945716858,0.0,0,0.0,0.8232789635658264,3.538897690516518e-13,0.9998824596405029,226,failure,0.1501273810863495,0.8567950129508972,scene0012_01,3
0.999895453453064,14,True,0.1452493629413906,mid,g0_step6000,1.2516975402832031e-06,52,3665,False,8001,context,0.4712647497653961,35,0.0,True,0.8243545889854431,0.0,0,0.0,0.8114931583404541,1.04927642909005e-13,0.9998953938484192,226,failure,0.17078453302383423,0.8385728597640991,scene0012_01,0
